"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","CHF","Swiss Franc","0","Units",,,1.790016,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","CHF","Swiss Franc","0","Units",,,1.764354,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","CHF","Swiss Franc","0","Units",,,1.70976,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","CHF","Swiss Franc","0","Units",,,1.717253,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","CHF","Swiss Franc","0","Units",,,1.692153,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","CHF","Swiss Franc","0","Units",,,1.686548,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","CHF","Swiss Franc","0","Units",,,1.599588,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","CHF","Swiss Franc","0","Units",,,1.534217,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","CHF","Swiss Franc","0","Units",,,1.493049,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","CHF","Swiss Franc","0","Units",,,1.468259,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","CHF","Swiss Franc","0","Units",,,1.46335,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","CHF","Swiss Franc","0","Units",,,1.397498,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","CHF","Swiss Franc","0","Units",,,1.354072,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","CHF","Swiss Franc","0","Units",,,1.312477,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","CHF","Swiss Franc","0","Units",,,1.28404,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","CHF","Swiss Franc","0","Units",,,1.247097,,
"CHE","Switzerland","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","CHF","Swiss Franc","0","Units",,,1.234851,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","DKK","Danish Krone","0","Units",,,8.752578,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","DKK","Danish Krone","0","Units",,,8.676771,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","DKK","Danish Krone","0","Units",,,8.670866,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","DKK","Danish Krone","0","Units",,,8.561606,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","DKK","Danish Krone","0","Units",,,8.65796,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","DKK","Danish Krone","0","Units",,,8.461561,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","DKK","Danish Krone","0","Units",,,8.569438,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","DKK","Danish Krone","0","Units",,,8.290944,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","DKK","Danish Krone","0","Units",,,8.17355,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","DKK","Danish Krone","0","Units",,,7.944128,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","DKK","Danish Krone","0","Units",,,7.721652,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","DKK","Danish Krone","0","Units",,,7.576796,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","DKK","Danish Krone","0","Units",,,7.466492,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","DKK","Danish Krone","0","Units",,,7.564136,,
